full_address,lat,lon
"1252 Stelton Rd, Piscataway, NJ, 8854",40.5413277,-74.4244634
"2982 ROUTE 516, OLD BRIDGE, NJ, 8857",40.4024291,-74.312967
"242-250 FIFTH AVE, PITTSBURGH, PA, 15222",40.4407114,-80.0010683
"95 FREEPORT STREET, NEW KENSINGTON, PA, 15068",40.5531499,-79.7580074
"1775 GOLDEN MILE HWY, MONROEVILLE, PA, 15146",40.4445587,-79.7140983
"10600 FRANKSTOWN RD, PITTSBURGH, PA, 15235",40.459872,-79.8421529
"2719 BRODHEAD ROAD, ALIQUIPPA, PA, 15001",40.6086171,-80.2835254
"4133 G AND HUNTING PARK, PHILA, PA, NA",40.0115596,-75.1117556
"8525 FRANKFORD AVENUE, PHILADELPHIA, PA, 19136",40.0458036,-75.0155691
"259 MARKET ST, PHILADELPHIA, PA, 19106",39.9503413,-75.1453259
"1046 MARKET ST, PHILADELPHIA, PA, NA",39.9514753,-75.1581395
"6501 HARBISON AVE, PHILADELPHIA, PA, 19149",40.0345468,-75.0634351
"7406 CHURCH STREET, SWISSVALE, PA, 15218",40.4216558,-79.8892255
"237 MONROEVILLE AVE, TURTLE CREEK, PA, NA",40.4062629,-79.8232164
"MIDLAND AVENUE, GARFIELD, NJ, 702699",40.8783356,-74.1025171
"295 VALLEY BLVD., WOOD RIDGE, NJ, NA",40.8525726,-74.08449
"221 MAIN ST, LODI, NJ, 7644",40.8818351,-74.0842028
"570 PATERSON AVE., E. RUTHERFORD, NJ, NA",40.8422504,-74.1058729
"130 SCHUYLKILL ROAD, PHOENIXVILLE, PA, 19460",40.1323293,-75.5377948
"30 MALL DRIVE WEST, JERSEY CITY, NJ, 7302",40.7276945,-74.0380908
"70 HUDSON ST, JERSEY CITY, NJ, 7302",40.7146333,-74.0341274
"59 WASHINGTON ST., HOBOKEN, NJ, 7030",40.7364853,-74.0307915
"560 AVENUE C, BAYONNE, NJ, 7002",40.6664153,-74.1189951
"3498 NORTH 5TH STREET, READING, PA, 19605",40.3857583,-75.9284509
"1054 SHOEMAKER AVENUE, SHOEMAKERSVILLE, PA, 19555",40.5065003,-75.9666697
"1149 BEN FRANKLIN HWY WEST, DOUGLASSVILLE, PA, 19518",40.2617605,-75.7293239
"3498 N. 5Th Street Hwy., Reading, Pennsylvania, 19605",40.3857583,-75.9284509
"1545 PULASKI HIGHWAY, BEAR, DE, 19701",39.6229511,-75.6852619
"25 PITTSBURGH STREET, UNIONTOWN, PA, 15401",39.9023979,-79.727232
"2580 CONSTITUTION BOULEVARD, BEAVER FALLS, PA, 15010",40.7737184,-80.3721019
"7065 LINCOLN DRIVE, PHILADELPHIA, PA, 19119",40.0540728,-75.1932543
"6344 STENTON AVENUE, PHILADELPHIA, PA, 19138",40.0598711,-75.1665695
"7700 GERMANTOWN AVE, PHILADELPHIA, PA, NA",40.0680543,-75.1985848
"901 SUMNEYTOWN PIKE, SPRING HOUSE, PA, 19477",40.1871152,-75.228786
"7000 BUTLER PIKE, AMBLER, PA, 19002",40.139373,-75.2431205
"159 N. MACDADE BLVD, GLENOLDEN, PA, 19036",39.9070115,-75.2867754
"923 PROVIDENCE ROAD, SECANE, PA, 19018",39.9181355,-75.3026425
"702 CHESTER PIKE, PROSPECT PARK, PA, 19076",39.8838641,-75.3036049
"1306 WEST MCDADE BOULEVARD, WOODLYN, PA, 19094",39.8773979,-75.3455296
"334 BALTIMORE PIKE, SPRINGFIELD, PA, NA",39.9220932,-75.3204447
"1937 E. MCDADE BLVD, RIDLEY, PA, NA",39.8968142,-75.3147192
"3110 ROUTE 38, MT LAUREL, NJ, NA",39.9701959,-74.8733705
"508 HIGH STREET, MOUNT HOLLY, NJ, 8060",40.0045673,-74.7950997
"180 GREENTREE RD, EVESHAM TOWNSHIP, NJ, 8053",39.9132656,-74.9246778
"137 ROUTE 70, MEDFORD, NJ, 8055",39.9012133,-74.8452456
"2920 ROUTE 73 NORTH, MAPLE SHADE, NJ, 8052",39.9495599,-74.9857156
"74 SOUTH LAKEVIEW DRIVE, GIBBSBORO, NJ, 8026",39.8379463,-74.9595028
"250 Glenwood Avenue, Glenwood & Henry Bloomfield, NJ, 7003",40.7913592,-74.2005524
"250 GLENWOOD AVENUE, BLOOMFIELD, NJ, 7003",40.7913592,-74.2005524
"1646 MAIN AVENUE, CLIFTON, NJ, 7015",40.8893334,-74.1534217
"331 BROAD ST, BLOOMFIELD, NJ, NA",40.8051277,-74.1933425
"601 N DUPONT BLVD, MILFORD, DE, 19963",38.9161673,-75.4424886
"2800 CONRAD WEISER, WOMELSDORF, PA, 19567",40.3688183,-76.1877322
"28 N CLAUDE A BLORD BLVD, POTTSVILLE, PA, 17901",40.6877265,-76.1970575
"70 WEST STEUBEN ST, CRAFTON, PA, 15205",40.4390421,-80.0698161
"3422 FORBES AVENUE, PITTSBURGH, PA, 15213",40.4388825,-79.9602753
"175 WEST BEAU STREET, WASHINGTON, PA, 15301",40.1714601,-80.2498179
"500 BROOKLINE BOULEVARD, PITTSBURGH, PA, 15226",40.3957037,-80.0234938
"3300 EDGEMONT AVE, BROOKHAVEN, PA, 19015",39.8690362,-75.382601
"635 CARLISLE STREET, HANOVER, PA, 17331",39.8099716,-76.9897944
"1310 YORK ROAD, GETTYSBURG, PA, 17325",39.8451114,-77.2001682
"2320-26 FAIRMOUNT AV, PHILADELPHIA, PA, NA",39.9669318,-75.1762723
"490 N BROAD STREET SUITE 100, PHILADELPHIA, PA, 19130",39.9623477,-75.1624273
"1919 MARKET ST, PHILADELPHIA, PA, 19103",39.953844,-75.1730013
"3331 GRANT AVENUE, PHILADELPHIA, PA, 19114",40.0693463,-75.0059188
"4133 G AND HUNTING PARL, PHILA, PA, NA",40.0115596,-75.1117556
"6701 RIDGE AVE, PHILADELPHIA, PA, 19128",40.0410645,-75.2237488
"10901 BUSTLETON AVE, PHILADELPHIA, PA, 19116",40.1119132,-75.0233283
"3421 ARAMINGO AVE, PHILADELPHIA, PA, 19134",39.9911926,-75.1003063
"1301 Rhawn Street, PHILADELPHIA, PA, NA",40.068928,-75.0667186
"12301 KNIGHTS ROAD, PHILADELPHIA, PA, 19154",40.0885023,-74.9698052
"1570 ROUTE 38, LUMBERTON, NJ, 8048",39.9817405,-74.7984818
"1497 ROUTE 206, TABERNACLE, NJ, 8088",39.8485984,-74.7350034
"421 LACEY RD, WHITING, NJ, 8759",39.958747,-74.3890539
"25 PENBERTON-BR.MILL, BROWNS MILLS, NJ, 8068",39.9892938,-74.5782967
"11 NORTH DUPONT HIGHWAY, DOVER, DE, 19901",39.1640589,-75.5146131
"988 FORREST STREET, DOVER, DE, 19904",39.1582881,-75.5423147
"5190 LIBRARY ROAD, BETHEL PARK, PA, 15102",40.3340035,-80.0246099
"9875 BUSTLETON AVENUE, PHILADELPHIA, PA, 19115",40.0929063,-75.0309401
"449 Market Street
Market & Garden State Pkwy, Elmwood Park, NJ, 7407",40.8966523,-74.1169084
"80 Goodwin Avenue 
Godwin & Erie, Midland Park, NJ, 7432",40.9853043,-74.1386553
"281 Midland Avenue
Midland Ave. & Van Winkle 
Ave., Garfield, NJ, 7026",40.8746159,-74.1044505
"221 Main St., Lodi, NJ, 7644",40.8818351,-74.0842028
"5600 WILKINS ABENUE, PITTSBURGH, PA, 15217",40.443792,-79.9276375
"4664 BROWNS HILL RD, PITTSBURG, PA, 15217",40.4145948,-79.922677
"850 PENNSYLVANIA AVENUE, MONACA, PA, 15061",40.6912095,-80.281692
"7720 BUSTLETON AVE, PHILADELPHIA, PA, 19152",40.0547775,-75.054863
"920 BETHLEHEM PIKE, ERDENHEIM, PA, 19118",40.0974408,-75.2124437
"702 CHESTER PIKE, SHARON HILL, PA, 19079",39.9124518,-75.2686796
"410 EAST CHESTER PIKE, RIDLEY, PA, 19078",39.8777464,-75.3165741
"795 BALTIMORE PIKE, SPRINGFIELD, PA, 19064",39.9165468,-75.3326189
"802 EAST PITTSBURGH STREET, GREENSBURG, PA, 15601",40.3018901,-79.5248618
"4214 WOODBOURNE ROAD, LEVITTOWN, PA, 19055",40.1549286,-74.856161
"2250 BRISTOL RD, BENSALEM, PA, 19020",40.1298127,-74.9234804
"331 GRANT AVENUE, PHILADELPHIA, PA, 19114",40.0681625,-75.0054903
"590 WEST TRENTON AVENUE, MORRISVILLE, PA, 19067",40.2084148,-74.8022131
"1900 BRUNSWICK AVENUE, LAWRENCEVILLE, NJ, 8648",40.2499081,-74.7358558
"1600 WADSWORTH AVENUE, PHILADELPHIA, PA, 19150",40.0804153,-75.1719576
"1201 WALNUT STREET, PHILADELPHIA, PA, 19107",39.9491952,-75.160663
"3401 WALNUT ST, PHILADELPHIA, PA, NA",39.9529913,-75.1922872
"1826-30 CHESTNUT ST, PHILADELPHIA, PA, NA",39.9515505,-75.1717186
"901 BRISTOL PIKE, CROYDON, PA, 19021",40.0948305,-74.9054604
"1181 FREEDOM RD, CRANBERRYTSP, PA, 16066",40.6826187,-80.1243909
"350 N 10TH ST, LEWISBURG, PA, 17837",40.9623985,-76.8932353
"405 NORTH 4TH STREET, SUNBURY, PA, 17801",40.8663311,-76.7890628
"120 UNION BOULEVARD, TOTOWA, NJ, 7512",40.9089699,-74.203946
"US HWY 40, RICHEYVILLE, PA, 15358",40.0533535,-80.0012612
"3925 WALNUT ST, PHILADELPHIA, PA, NA",39.9542356,-75.2011919
"2132 SOUTH ST, PHILADELPHIA, PA, 19146",39.9450451,-75.1784781
"3295 PA ROUTE 100, MACUNGIE, PA, 18062",40.518905,-75.5606574
"6900 LINDBERGH BOULEVARD, PHILADELPHIA, PA, 19142",39.9108957,-75.2294606
"88 MORGAN ST, JERSEY CITY, NJ, 7302",40.7197157,-74.0363161
"18-40 GOLDSBOROUGH DRIVE, BAYONNE, NJ, 7022",40.6717535,-74.105783
"302 W. BRIDGE ST., NEW HOPE, PA, NA",40.3649521,-74.9648514
"101 W CITY AVE, BALA CYNWYD, PA, 19004",39.9989836,-75.2319536
"7520 CITY AVENUE, PHILADELPHIA, PA, NA",39.9795508,-75.2697305
"1717 NORTH 12TH STREET UNIT F, PHILADELPHIA, PA, 19122",39.9785807,-75.1534052
