Address,lon,lat,address,
"CVS 635 CARLISLE STREET, HANOVER, PA, 17331",-76.9897204,39.809956,"635 carlisle st, hanover, pa 17331, usa",
"CVS 1310 YORK ROAD, GETTYSBURG, PA, 17325",-77.200173,39.8451336,"1310 york rd, gettysburg, pa 17325, usa",
"CVS 1611 N PHILADELPHIA, OCEAN CITY, MD, 21842",-75.08028348,38.34715436,"CVS 1611 N PHILADELPHIA, OCEAN CITY, MD, 21842",
"CVS 317 CENTRAL AVENUE, EAST ORANGE, NJ, 7018",-74.2151414,40.754555,"317 central ave, east orange, nj 07018, usa",
"CVS 453 VALLEY STREET, MAPLEWOOD, NJ, 7040",-74.2666247,40.7376029,"453 valley st, maplewood, nj 07040, usa",
"CVS 107 EAST FIRST AVE, ROSELLE, NJ, 7203",-74.263691,40.6604791,"107 e 1st ave, roselle, nj 07203, usa",
"CVS 265 LONG AVENUE, HILLSIDE, NJ, 7205",-74.2310298,40.6987869,"265 long ave, hillside, nj 07205, usa",
"CVS 1144 SOUTH AVENUE WEST, WESTFIELD, NJ, 7090",-74.3638104,40.6467239,"1144 south ave w, westfield, nj 07090, usa",
"CVS 2320-26 FAIRMOUNT AV, PHILADELPHIA, PA, 19130",-75.1762477,39.9670123,"2320-26 fairmount ave, philadelphia, pa 19130, usa",
"CVS 490 N BROAD STREET SUITE 100, PHILADELPHIA, PA, 19130",-75.1622899,39.962312,"490 n broad st suite 100, philadelphia, pa 19130, usa",
"CVS 1919 MARKET ST, PHILADELPHIA, PA, 19103",-75.1727064,39.9539045,"1919 market st #150, philadelphia, pa 19103, usa",
"CVS 3331 GRANT AVENUE, PHILADELPHIA, PA, 19114",-75.0060221,40.069241,"3331 grant ave, philadelphia, pa 19114, usa",
"CVS 6701 RIDGE AVE, PHILADELPHIA, PA, 19128",-75.2237488,40.0410645,"6701 ridge ave, philadelphia, pa 19128, usa",
"CVS 10901 BUSTLETON AVE, PHILADELPHIA, PA, 19116",-75.0229175,40.1122896,"10901c bustleton ave, philadelphia, pa 19116, usa",
"CVS 3421 ARAMINGO AVE, PHILADELPHIA, PA, 19134",-75.1003063,39.9911926,"3421 aramingo ave, philadelphia, pa 19134, usa",
"CVS 1301 Rhawn Street, PHILADELPHIA, PA, 19111",-75.0666815,40.0689852,"1301 rhawn st, philadelphia, pa 19111, usa",
"CVS 12301 KNIGHTS ROAD, PHILADELPHIA, PA, 19154",-74.9694536,40.0881869,"12301 knights rd, philadelphia, pa 19154, usa",
"CVS 1570 ROUTE 38, LUMBERTON, NJ, 8048",-74.7985136,39.9817831,"1570 nj-38, lumberton, nj 08048, usa",
"CVS 1497 ROUTE 206, TABERNACLE, NJ, 8088",-74.7349959,39.8485984,"1497 us-206, tabernacle, nj 08088, usa",
"CVS 421 LACEY RD, WHITING, NJ, 8759",-74.3890285,39.9587564,"421 lacey rd, whiting, nj 08759, usa",
"CVS 25 PENBERTON-BR.MILL, BROWNS MILLS, NJ, 8068",-74.5834673,39.9729209,"browns mills, pemberton township, nj 08015, usa",flag - two different addresses for 25 penberton
"CVS 11 NORTH DUPONT HIGHWAY, DOVER, DE, 19901",-75.5146131,39.1640589,"11 n dupont hwy, dover, de 19901, usa",
"CVS 988 FORREST STREET, DOVER, DE, 19904",-75.5423147,39.1582881,"988 forest st, dover, de 19904, usa",
"CVS 5190 LIBRARY ROAD, BETHEL PARK, PA, 15102",-80.0245944,40.3340413,"5190 library rd, bethel park, pa 15102, usa",
"CVS 9875 BUSTLETON AVENUE, PHILADELPHIA, PA, 19115",-75.0309094,40.0929027,"9875 bustleton ave, philadelphia, pa 19115, usa",
"CVS 298 EAST STREET ROAD, FEASTERVILLE, PA, 19053",-74.9950677,40.1470962,"298 e street rd, trevose, pa 19053, usa",
"CVS 449 Market Street
Market & Garden State Pkwy, Elmwood Park, NJ, 7407",NA,NA,NA,
"CVS 80 Goodwin Avenue
Godwin & Erie, Midland Park, NJ, 7432",-74.1374839,40.9855092,"80 godwin ave, midland park, nj 07432, usa",
"CVS 281 Midland Avenue
Midland Ave. & Van Winkle, Garfield, NJ, 7026",-73.8225644,40.9485377,"281 midland ave, tuckahoe, ny 10707, usa",
"CVS 80 GOODWIN AVENUE, Midland Park, NJ, 7432",-74.1374839,40.9855092,"80 godwin ave, midland park, nj 07432, usa",
"CVS 221 Main St., Lodi, NJ, 7644",-74.0842028,40.8818351,"221 main st, lodi, nj 07644, usa",
"CVS 5600 WILKINS ABENUE, PITTSBURGH, PA, 15217",-79.9276262,40.4438052,"5600 wilkins ave, pittsburgh, pa 15217, usa",
"CVS 4664 BROWNS HILL RD, PITTSBURG, PA, 15217",-79.922637,40.4145805,"4664 browns hill rd, pittsburgh, pa 15217, usa",
"CVS 850 PENNSYLVANIA AVENUE, MONACA, PA, 15061",-80.281692,40.6912095,"850 pennsylvania ave, monaca, pa 15061, usa",
"CVS 7720 BUSTLETON AVE, PHILADELPHIA, PA, 19152",-75.0549413,40.0548549,"7720 bustleton ave, philadelphia, pa 19152, usa",
"CVS 920 BETHLEHEM PIKE, ERDENHEIM, PA, 19118",-75.2124422,40.0974609,"920 bethlehem pike, erdenheim, pa 19038, usa",
"CVS 702 CHESTER PIKE, SHARON HILL, PA, 19079",-75.2686038,39.9122357,"702 chester pike, sharon hill, pa 19079, usa",
"CVS 410 EAST CHESTER PIKE, RIDLEY, PA, 19078",-75.3165741,39.8777464,"410 e chester pike, ridley park, pa 19078, usa",
"CVS 795 BALTIMORE PIKE, SPRINGFIELD, PA, 19064",-75.3325625,39.9165024,"795 baltimore pike, springfield, pa 19064, usa",
"CVS 802 EAST PITTSBURGH STREET, GREENSBURG, PA, 15601",-79.5248666,40.3018913,"802 e pittsburgh st, greensburg, pa 15601, usa",
"CVS 4214 WOODBOURNE ROAD, LEVITTOWN, PA, 19055",-74.8562346,40.1547474,"4214 woodbourne rd, levittown, pa 19057, usa",
"CVS 2250 BRISTOL RD, BENSALEM, PA, 19020",-74.9234804,40.1298127,"2250 bristol rd, bensalem, pa 19020, usa",
"CVS 590 WEST TRENTON AVENUE, MORRISVILLE, PA, 19067",-74.8021413,40.2083851,"590 w trenton ave, morrisville, pa 19067, usa",
"CVS 1900 BRUNSWICK AVENUE, LAWRENCEVILLE, NJ, 8648",-74.735813,40.2498609,"1900 brunswick ave, lawrence township, nj 08648, usa",
"CVS 629 W LANCASTER AVENUE, WAYNE, PA, 19087",-75.4050899,40.0464463,"629 w lancaster ave, wayne, pa 19087, usa",
"CVS 1600 WADSWORTH AVENUE, PHILADELPHIA, PA, 19150",-75.1719576,40.0804153,"1600 wadsworth ave, philadelphia, pa 19150, usa",
"CVS 1201 WALNUT STREET, PHILADELPHIA, PA, 19107",-75.160714,39.9490656,"1201 walnut st, philadelphia, pa 19107, usa",
"CVS 3401 WALNUT ST, PHILADELPHIA, PA, 19104",-75.1922872,39.9529913,"3401 walnut st, philadelphia, pa 19104, usa",
"CVS 1826-30 CHESTNUT ST., PHILADELPHIA, PA, 19103",-75.1717186,39.9515505,"1826-30 chestnut st, philadelphia, pa 19103, usa",
"CVS 901 BRISTOL PIKE, CROYDON, PA, 19021",-74.9054604,40.0948305,"901 bristol pike, croydon, pa 19021, usa",
"CVS 7107 BRISTOL PIKE, LEVITTOWN, PA, 19057",-74.8343585,40.1295047,"7107 bristol pike, levittown, pa 19057, usa",
