,...1,county,trade_name,account,license_type,expiration_date,lat,lon,address_full,publish_date,state,expired_y_n,edit,
73,36603,PIKE,SMOKERS CHOICE,70**8009,Cigarette/OTP Retail,2/28/25,41.35237536,-74.73094042,102 MILFORD LANDING DRIVE MILFORD PA 18337,5/26/21,PA,ACTIVE,"lat, lon",
74,36606,BLAIR,SMOKERS EXP CIG OTL 170,70**8001,Cig/OTP Retail,2/28/22,40.46214039,-78.39581478,"400 S Logan Blvd, Altoona, PA 16602",5/26/21,PA,EXPIRED,"lat, lon, address_full",
75,36618,BUCKS,SMOKERS EXPRESS,70**8001,Cigarette/OTP Retail,2/28/25,40.16959729,-74.84875784,525 S OXFORD VALLEY RD FAIRLESS HILLS PA 19030-2612,5/26/21,PA,ACTIVE,"lat, lon",
76,36625,BUCKS,SMOKERS EXPRESS 1106,70**8006,Cigarette/OTP Retail,2/28/23,40.15434245,-74.97406082,544 ANDREWS RD TREVOSE PA 19053-3433,5/26/21,PA,EXPIRED,"lat, lon",
77,36632,LYCOMING,SMOKERS EXPRESS 1701,70**8006,Cig/OTP Retail,2/28/22,41.23049074,-76.9911107,42 E MOUNTAIN AVE S WILLIAMSPOR PA 17702-7630,5/26/21,PA,EXPIRED,"lat, lon",
78,36633,SNYDER,SMOKERS EXPRESS 1702,70**8010,Cig/OTP Retail,2/28/22,40.80563081,-76.85839685,513 N MARKET ST SELINSGROVE PA 17870-2003,5/26/21,PA,EXPIRED,"lat, lon",
79,36636,LYCOMING,SMOKERS EXPRESS 1706,70**8009,Cig/OTP Retail,2/28/21,41.20514371,-76.78637586,16 S MAIN ST MUNCY PA 17756-1307,5/18/20,PA,EXPIRED,"lat, lon",
80,38066,ALLEGHENY,STURGEON AA CLUB,63**7797,Cigarette Vending,2/28/25,40.38477557,-80.21067824,"7561 Noblestown Rd, Sturgeon, PA 15082",12/1/22,PA,ACTIVE,"lat, lon, address_full",AA club? Athletics association?
81,38755,YORK,SUPERCENTER 1529,70**8006,Cigarette/OTP Retail,2/28/25,39.97772356,-76.67181326,2801 E MARKET ST BLDG B YORK PA 17402-2406,5/26/21,PA,ACTIVE,"lat, lon",
82,38757,MIFFLIN,SUPERCENTER 1607,70**8002,Cigarette/OTP Retail,2/28/25,40.58141085,-77.61150496,"10180 U.S. 522 S, Lewistown, PA 17044",5/26/21,PA,ACTIVE,"lat, lon, address_full",
83,38758,CENTRE,SUPERCENTER 1640,70**8001,Cigarette/OTP Retail,2/29/24,40.8098086,-77.89725733,1665 N ATHERTON ST STATE COLLEGE PA 16803-1417,5/26/21,PA,EXPIRED,"lat, lon",
84,38759,CRAWFORD,SUPERCENTER 1656,70**8009,Cigarette/OTP Retail,2/28/25,41.62189898,-80.21380654,16086 CONNEAUT LAKE RD MEADVILLE PA 16335-3884,5/26/21,PA,ACTIVE,"lat, lon",
